uuid,occurrenceID,taxonConceptID,eventDate,eventDateEnd,scientificName,vernacularName,taxonRank,taxonRankID,raw_countryCode,country,kingdom,phylum,order,family,genus,genusGuid,species,speciesGuid,stateProvince,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,basisOfRecord,raw_locationRemarks,dataProviderUid,dataProviderName,dataResourceUid,dataResourceName,assertions,speciesGroups,spatiallyValid,recordedBy,collectors,raw_scientificName,raw_basisOfRecord,raw_vernacularName,license,recordNumber,rights,geospatialKosher,latLong,point1,point01,point001,point0001,point00001,collector,namesLsid,left,right,class,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,countryConservation,stateConservation,austConservation,year,month,references,occurrenceDetails,image,images,multimedia,identificationVerificationStatus,imageUrl,largeImageUrl,smallImageUrl,thumbnailUrl,imageUrls,dataHubUid,institutionUid,institutionName,collectionUid,collectionName,sounds,sensitive
02f5a7be-0ea3-4e61-b291-5e02393a2369,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677386",https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,1900-01-01,1349654400000,Wallabia bicolor,Swamp Wallaby,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Macropodidae,Wallabia,https://biodiversity.org.au/afd/taxa/5078c483-4a36-4119-8da4-920dadcb60d0,Wallabia bicolor,https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,New South Wales,-36.554421,149.396007,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['TAXON_PARENT_CHILD_SYNONYM', 'COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-296,SFOBS-296,Wallabia bicolor,HumanObservation,Swamp Wallaby,CC-BY 4.0 (Int),SF-677386,Unknown,true,"-36.554421,149.396007","-37,149","-36.6,149.4","-36.55,149.4","-36.554,149.396","-36.5544,149.396",SFOBS-296,Wallabia bicolor|https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531|Swamp Wallaby|Animalia|Macropodidae,27504,27514,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677386,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
04d592eb-fa97-4f6b-b2c6-3b8614e218b1,urn:catalog:NSW Office of Environment and Heritage:BioNet Atlas of NSW Wildlife:SF-677507,https://biodiversity.org.au/afd/taxa/692effa3-b719-495f-a86f-ce89e2981652,1900-01-01,1349654400000,Oryctolagus cuniculus,Rabbit,species,7000,AU,Australia,Animalia,Chordata,Lagomorpha,Leporidae,Oryctolagus,https://biodiversity.org.au/afd/taxa/755588ef-cf93-4dec-8f17-fc816ef7da3d,Oryctolagus cuniculus,https://biodiversity.org.au/afd/taxa/692effa3-b719-495f-a86f-ce89e2981652,New South Wales,-36.558701,149.418371,100.0,HUMAN_OBSERVATION,,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Oryctolagus cuniculus,HumanObservation,Rabbit,CC-BY 4.0 (Int),SF-677507,Unknown,true,"-36.558701,149.418371","-37,149","-36.6,149.4","-36.56,149.42","-36.559,149.418","-36.5587,149.4184",SFOBS-149,Oryctolagus cuniculus|https://biodiversity.org.au/afd/taxa/692effa3-b719-495f-a86f-ce89e2981652|Rabbit|Animalia|Leporidae,28633,28635,Mammalia,NSW Office of Environment and Heritage,BioNet Atlas of NSW Wildlife,SF-677507,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
0651b03b-99aa-48c3-a88f-dad19036de64,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677390",https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,1900-01-01,1349654400000,Vombatus ursinus,Bare-nosed Wombat,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Vombatidae,Vombatus,https://biodiversity.org.au/afd/taxa/ae011935-f205-4c4a-bbf1-5f1e152855f0,Vombatus ursinus,https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,New South Wales,-36.55581,149.403144,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Vombatus ursinus,HumanObservation,Bare-nosed Wombat,CC-BY 4.0 (Int),SF-677390,Unknown,true,"-36.55581,149.403144","-37,149","-36.6,149.4","-36.56,149.4","-36.556,149.403","-36.5558,149.4031",SFOBS-149,Vombatus ursinus|https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286|Bare-nosed Wombat|Animalia|Vombatidae,27224,27230,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677390,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
073162e5-fac5-4c73-8aae-3a0406393589,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677384",https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,1900-01-01,1349654400000,Vombatus ursinus,Bare-nosed Wombat,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Vombatidae,Vombatus,https://biodiversity.org.au/afd/taxa/ae011935-f205-4c4a-bbf1-5f1e152855f0,Vombatus ursinus,https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,New South Wales,-36.554421,149.396007,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-296,SFOBS-296,Vombatus ursinus,HumanObservation,Bare-nosed Wombat,CC-BY 4.0 (Int),SF-677384,Unknown,true,"-36.554421,149.396007","-37,149","-36.6,149.4","-36.55,149.4","-36.554,149.396","-36.5544,149.396",SFOBS-296,Vombatus ursinus|https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286|Bare-nosed Wombat|Animalia|Vombatidae,27224,27230,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677384,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
08409441-9072-409b-86e7-daa56a65c95a,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677399",https://biodiversity.org.au/afd/taxa/5e2dc7c9-4cff-485b-9f71-5ed99c0c8d3e,1900-01-01,1349654400000,Petauroides volans,Southern Greater Glider,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Pseudocheiridae,Petauroides,https://biodiversity.org.au/afd/taxa/54e8b1cd-6af8-46b1-bc04-207bf3465929,Petauroides volans,https://biodiversity.org.au/afd/taxa/5e2dc7c9-4cff-485b-9f71-5ed99c0c8d3e,New South Wales,-36.55515,149.395639,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Petauroides volans,HumanObservation,Southern Greater Glider,CC-BY 4.0 (Int),SF-677399,Unknown,true,"-36.55515,149.395639","-37,149","-36.6,149.4","-36.56,149.4","-36.555,149.396","-36.5551,149.3956",SFOBS-149,Petauroides volans|https://biodiversity.org.au/afd/taxa/5e2dc7c9-4cff-485b-9f71-5ed99c0c8d3e|Southern Greater Glider|Animalia|Pseudocheiridae,27275,27275,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677399,occurrenceRemarks withheld,Endangered,Endangered,Endangered,,,,,,,,,,,,,,,,,,,,
096f2cad-5ba9-4d12-9986-803d896043a0,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677398",https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,1900-01-01,1349654400000,Wallabia bicolor,Swamp Wallaby,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Macropodidae,Wallabia,https://biodiversity.org.au/afd/taxa/5078c483-4a36-4119-8da4-920dadcb60d0,Wallabia bicolor,https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,New South Wales,-36.55515,149.395639,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['TAXON_PARENT_CHILD_SYNONYM', 'COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Wallabia bicolor,HumanObservation,Swamp Wallaby,CC-BY 4.0 (Int),SF-677398,Unknown,true,"-36.55515,149.395639","-37,149","-36.6,149.4","-36.56,149.4","-36.555,149.396","-36.5551,149.3956",SFOBS-149,Wallabia bicolor|https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531|Swamp Wallaby|Animalia|Macropodidae,27504,27514,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677398,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
0b2d6f04-b262-44cf-9712-52fc84757005,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677405",https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,1900-01-01,1349654400000,Vombatus ursinus,Bare-nosed Wombat,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Vombatidae,Vombatus,https://biodiversity.org.au/afd/taxa/ae011935-f205-4c4a-bbf1-5f1e152855f0,Vombatus ursinus,https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286,New South Wales,-36.556739,149.395073,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Vombatus ursinus,HumanObservation,Bare-nosed Wombat,CC-BY 4.0 (Int),SF-677405,Unknown,true,"-36.556739,149.395073","-37,149","-36.6,149.4","-36.56,149.4","-36.557,149.395","-36.5567,149.3951",SFOBS-149,Vombatus ursinus|https://biodiversity.org.au/afd/taxa/66d42847-c556-4fa3-902c-a91d9f517286|Bare-nosed Wombat|Animalia|Vombatidae,27224,27230,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677405,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
14ea0920-5f48-4032-907b-6be24d7dfb2b,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677388",https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,1900-01-01,1349654400000,Wallabia bicolor,Swamp Wallaby,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Macropodidae,Wallabia,https://biodiversity.org.au/afd/taxa/5078c483-4a36-4119-8da4-920dadcb60d0,Wallabia bicolor,https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,New South Wales,-36.554874,149.402612,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['TAXON_PARENT_CHILD_SYNONYM', 'COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Wallabia bicolor,HumanObservation,Swamp Wallaby,CC-BY 4.0 (Int),SF-677388,Unknown,true,"-36.554874,149.402612","-37,149","-36.6,149.4","-36.55,149.4","-36.555,149.403","-36.5549,149.4026",SFOBS-149,Wallabia bicolor|https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531|Swamp Wallaby|Animalia|Macropodidae,27504,27514,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677388,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
19386552-d965-4c2e-8b12-e9bd5555db0a,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677440",https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,1900-01-01,1349654400000,Wallabia bicolor,Swamp Wallaby,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Macropodidae,Wallabia,https://biodiversity.org.au/afd/taxa/5078c483-4a36-4119-8da4-920dadcb60d0,Wallabia bicolor,https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,New South Wales,-36.553674,149.401793,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['TAXON_PARENT_CHILD_SYNONYM', 'COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Wallabia bicolor,HumanObservation,Swamp Wallaby,CC-BY 4.0 (Int),SF-677440,Unknown,true,"-36.553674,149.401793","-37,149","-36.6,149.4","-36.55,149.4","-36.554,149.402","-36.5537,149.4018",SFOBS-149,Wallabia bicolor|https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531|Swamp Wallaby|Animalia|Macropodidae,27504,27514,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677440,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
1c032bc1-62d9-4813-94dd-e4fdf70ac202,"urn:catalog:NSW Dept of Planning, Industry and Environment:BioNet Atlas of NSW Wildlife:SF-677437",https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,1900-01-01,1349654400000,Wallabia bicolor,Swamp Wallaby,species,7000,AU,Australia,Animalia,Chordata,Diprotodontia,Macropodidae,Wallabia,https://biodiversity.org.au/afd/taxa/5078c483-4a36-4119-8da4-920dadcb60d0,Wallabia bicolor,https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531,New South Wales,-36.552778,149.401542,100.0,HUMAN_OBSERVATION,locationRemarks withheld,dp34,"Department of Planning, Industry and Environment representing the State of New South Wales",dr368,NSW BioNet Atlas,"['TAXON_PARENT_CHILD_SYNONYM', 'COORDINATE_ROUNDED', 'MISSING_GEOREFERENCE_DATE', 'MISSING_GEOREFERENCEDBY', 'MISSING_GEOREFERENCEPROTOCOL', 'MISSING_GEOREFERENCESOURCES', 'MISSING_GEOREFERENCEVERIFICATIONSTATUS']","['Animals', 'Mammals']",True,SFOBS-149,SFOBS-149,Wallabia bicolor,HumanObservation,Swamp Wallaby,CC-BY 4.0 (Int),SF-677437,Unknown,true,"-36.552778,149.401542","-37,149","-36.6,149.4","-36.55,149.4","-36.553,149.402","-36.5528,149.4015",SFOBS-149,Wallabia bicolor|https://biodiversity.org.au/afd/taxa/c28d755d-229c-47d7-a6ea-7920f636f531|Swamp Wallaby|Animalia|Macropodidae,27504,27514,Mammalia,"NSW Dept of Planning, Industry and Environment",BioNet Atlas of NSW Wildlife,SF-677437,occurrenceRemarks withheld,,,,,,,,,,,,,,,,,,,,,,,
