scientificName,vernacularName,class,order,family,eventDate,year,month,day,dataResourceName,recordedBy,samplingProtocol,decimalLatitude,decimalLongitude,dataGeneralizations,locality,verbatimLocality
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-13,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552145,149.404897,,,
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,2025-12-14,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.553165,149.396775,,,
Coracina (Coracina) novaehollandiae,Black-faced Cuckoo-shrike,Aves,Passeriformes,Campephagidae,2025-12-14,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.55471,149.397172,,,
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,Hesperiidae,2025-12-14,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.552712,149.397675,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.551447,149.398998,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.551281,149.4,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,,NSW BioNet Atlas,OMKV26010900,,-36.550359,149.401683,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,,NSW BioNet Atlas,OMKV26010900,,-36.549738,149.400964,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,,NSW BioNet Atlas,OMKV26010900,,-36.549561,149.40076,,,
Ptilonorhynchus violaceus,Satin Bowerbird,Aves,Passeriformes,Ptilonorhynchidae,2025-12-14,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.554703,149.397247,,,
Acanthiza (Acanthiza) pusilla,Brown Thornbill,Aves,Passeriformes,Acanthizidae,2025-12-16,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.551073,149.399374,,,
Oreixenica orichora,Orichora Brown,Insecta,Lepidoptera,Nymphalidae,2025-12-16,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.550572,149.400222,,,
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,Hesperiidae,2025-12-16,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.550582,149.400204,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552371,149.412097,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.551436,149.40114,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.55036,149.3995,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.549593,149.399488,,,
Acanthiza (Geobasileus) reguloides,Buff-rumped Thornbill,Aves,Passeriformes,Acanthizidae,2025-12-20,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.554472,149.396893,,,
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2025-12-20,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.552794,149.416935,,,
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,2025-12-20,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.55075,149.400345,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.554471,149.414319,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.554364,149.413728,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.553635,149.413183,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.553534,149.412256,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.553304,149.411779,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552601,149.412609,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552442,149.412395,,,
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,2025-12-20,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.550987,149.399522,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.55414,149.411819,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.5541,149.413365,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.553373,149.408703,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.553141,149.408299,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552419,149.407941,,,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-22,2025.0,12.0,,NSW BioNet Atlas,WONA-SEF,,-36.552201,149.408566,,,
Cerdistus,,Insecta,Diptera,Asilidae,2025-12-23,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.554153,149.396027,,,
Cerdistus,,Insecta,Diptera,Asilidae,2025-12-23,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.550672,149.401483,,,
Climacteris (Climacterobates) erythrops,Red-browed Treecreeper,Aves,Passeriformes,Climacteridae,2025-12-23,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.552147,149.421233,,,
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,2025-12-23,2025.0,12.0,,iNaturalist Australia,quitechoughed,,-36.552253,149.421127,,,
