scientificName,vernacularName,class,order,family,eventDate,year,month,day,dataResourceName,recordedBy,samplingProtocol,decimalLatitude,decimalLongitude,dataGeneralizations,locality,verbatimLocality
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-08-23,2025.0,8.0,23.0,NSW BioNet Atlas,WONA-SEF,,-36.558677,149.437677,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-08-23,2025.0,8.0,23.0,NSW BioNet Atlas,WONA-SEF,,-36.558309,149.43767,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-18,2025.0,9.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.556964,149.437327,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-18,2025.0,9.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.551594,149.42049,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-19,2025.0,9.0,19.0,NSW BioNet Atlas,WONA-SEF,,-36.557703,149.437331,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-19,2025.0,9.0,19.0,NSW BioNet Atlas,WONA-SEF,,-36.551161,149.421496,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-19,2025.0,9.0,19.0,NSW BioNet Atlas,WONA-SEF,,-36.557046,149.438062,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-09-19,2025.0,9.0,19.0,NSW BioNet Atlas,WONA-SEF,,-36.559636,149.438124,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-10-20,2025.0,10.0,20.0,NSW BioNet Atlas,WONA-SEF,,-36.560074,149.43756,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-13,2025.0,12.0,13.0,NSW BioNet Atlas,WONA-SEF,,-36.552145,149.404897,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,14.0,NSW BioNet Atlas,OMKV26010900,,-36.549561,149.40076,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,14.0,NSW BioNet Atlas,OMKV26010900,,-36.549738,149.400964,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,14.0,NSW BioNet Atlas,WONA-SEF,,-36.551447,149.398998,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,14.0,NSW BioNet Atlas,WONA-SEF,,-36.551281,149.4,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-14,2025.0,12.0,14.0,NSW BioNet Atlas,OMKV26010900,,-36.550359,149.401683,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.549593,149.399488,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.551436,149.40114,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.552371,149.412097,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-18,2025.0,12.0,18.0,NSW BioNet Atlas,WONA-SEF,,-36.55036,149.3995,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,20.0,NSW BioNet Atlas,WONA-SEF,,-36.553534,149.412256,,locality withheld,
Petauroides volans,Southern Greater Glider,Mammalia,Diprotodontia,Pseudocheiridae,2025-12-20,2025.0,12.0,20.0,NSW BioNet Atlas,WONA-SEF,,-36.554364,149.413728,,locality withheld,
