scientificName,vernacularName,class,order,family,eventDate
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2008-02-12
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2008-02-13
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2021-11-06
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2021-11-06
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,2025-12-20
Aegotheles (Aegotheles) cristatus,Australian Owlet-nightjar,Aves,Apodiformes,Aegothelidae,1992-03-01
Aegotheles (Aegotheles) cristatus,Australian Owlet-nightjar,Aves,Apodiformes,Aegothelidae,1992-03-01
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,1994-09-28
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,1994-09-28
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,2008-02-11
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,2025-12-23
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,2014-03-11
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,2025-12-14
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,2014-03-11
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,2014-03-11
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,2025-12-23
Cormobates leucophaea,White-throated Treecreeper,Aves,Passeriformes,Climacteridae,2014-03-11
Cormobates leucophaea,White-throated Treecreeper,Aves,Passeriformes,Climacteridae,2025-12-23
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,2014-03-11
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,2025-12-20
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
