scientificName,vernacularName,class,order,family,eventDate
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,12/02/2008
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,13/02/2008
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,6/11/2021
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,6/11/2021
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,Myobatrachidae,20/12/2025
Aegotheles (Aegotheles) cristatus,Australian Owlet-nightjar,Aves,Apodiformes,Aegothelidae,1/03/1992
Aegotheles (Aegotheles) cristatus,Australian Owlet-nightjar,Aves,Apodiformes,Aegothelidae,1/03/1992
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,1/01/1900
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,28/09/1994
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,28/09/1994
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,11/02/2008
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,Alcedinidae,23/12/2025
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,11/03/2014
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,Acanthizidae,14/12/2025
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,11/03/2014
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,11/03/2014
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,Pachycephalidae,23/12/2025
Cormobates leucophaea,White-throated Treecreeper,Aves,Passeriformes,Climacteridae,11/03/2014
Cormobates leucophaea,White-throated Treecreeper,Aves,Passeriformes,Climacteridae,23/12/2025
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,11/03/2014
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,Maluridae,20/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,28/12/2025
