scientificName,vernacularName,kingdom,phylum,class,order,family,genus,eventDate,year,month,day,decimalLatitude,decimalLongitude,dataResourceName,dataGeneralizations,habitat,occurrenceRemarks,basisOfRecord,individualCount,class_display,class_description,at_risk_status,habitat_type
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-01 00:00:00,1970.0,1.0,1.0,-36.55,149.42,Australian National Insect Collection,,Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,,PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1969-12-24 00:00:00,1969.0,12.0,24.0,-36.55,149.42,Australian National Insect Collection,,Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,,PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-06 00:00:00,1970.0,1.0,6.0,-36.55,149.42,Australian National Insect Collection,,Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,,PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-19 00:00:00,1970.0,1.0,19.0,-36.55,149.42,Australian National Insect Collection,,Larva in dead leaves on fallen branch of Eucalyptus sp.,,PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1969-12-15 00:00:00,1969.0,12.0,15.0,-36.55,149.42,Australian National Insect Collection,,Larva tying leaves on fallen dead branch of Eucalyptus pauciflora,,PRESERVED_SPECIMEN,,Insecta,insects,,
Scieropepla serina,Concealer Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Yloryctidae,Scieropepla,1970-01-19 00:00:00,1970.0,1.0,19.0,-36.55,149.42,Australian National Insect Collection,,Larva in dead leaves on fallen branch of Eucalyptus sp.,,PRESERVED_SPECIMEN,,Insecta,insects,,
Vanessa kershawi,Australian Painted Lady,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,2025-12-23 16:35:00,2025.0,12.0,23.0,-36.55421,149.395982,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,2025-12-23 15:36:00,2025.0,12.0,23.0,-36.557877,149.395767,iNaturalist Australia,,,about 8cm also found pellets and whitewash. (same feather. the lighting was bad so i just took a bunch of pictures so you could see the colours properly),HUMAN_OBSERVATION,,Aves,birds,,
Strepera (Neostrepera) versicolor,Grey Currawong,Animalia,Chordata,Aves,Passeriformes,Artamidae,Strepera,2025-12-23 15:00:00,2025.0,12.0,23.0,-36.554097,149.396148,iNaturalist Australia,,,there was a whole family with at least 2 fledglings. I've seen a few families of grey currawongs around the glenbog state forest,HUMAN_OBSERVATION,,Aves,birds,,
Coracina (Coracina) novaehollandiae,Black-faced Cuckoo-shrike,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Coracina,2025-12-14 11:31:00,2025.0,12.0,14.0,-36.55471,149.397172,iNaturalist Australia,,,"juvenile, i think?",HUMAN_OBSERVATION,,Aves,birds,,
Platycercus (Platycercus) elegans,Crimson Rosella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,2025-12-23 12:49:00,2025.0,12.0,23.0,-36.55489,149.422073,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Climacteris (Climacterobates) erythrops,Red-browed Treecreeper,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Climacteris,2025-12-23 13:55:00,2025.0,12.0,23.0,-36.552147,149.421233,iNaturalist Australia,,,foraging with white-throated treecreepers,HUMAN_OBSERVATION,,Aves,birds,,
Acanthiza (Geobasileus) reguloides,Buff-rumped Thornbill,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,2025-12-20 14:40:00,2025.0,12.0,20.0,-36.554472,149.396893,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Cerdistus,,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Cerdistus,2025-12-23 16:49:00,2025.0,12.0,23.0,-36.550672,149.401483,iNaturalist Australia,,,only small,HUMAN_OBSERVATION,,Insecta,insects,,
Eusynthemis guttata,Southern Tigertail,Animalia,Arthropoda,Insecta,Odonata,Synthemistidae,Eusynthemis,2025-12-23 12:55:00,2025.0,12.0,23.0,-36.555219,149.421693,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Hemicordulia tau,Tau Emerald,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Hemicordulia,2025-12-23 15:15:00,2025.0,12.0,23.0,-36.554548,149.395537,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
ZYGAENIDAE,,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,,2025-12-23 16:37:00,2025.0,12.0,23.0,-36.554151,149.396027,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Oreixenica orichora,Orichora Brown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Oreixenica,2025-12-23 12:55:00,2025.0,12.0,23.0,-36.555218,149.421691,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Cormobates leucophaea,White-throated Treecreeper,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Cormobates,2025-12-23 13:56:00,2025.0,12.0,23.0,-36.552208,149.421203,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Aves,birds,,
Epidesmia,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epidesmia,2025-12-23 16:38:00,2025.0,12.0,23.0,-36.552422,149.398178,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Pasma tasmanica,Tasmanica Skipper,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pasma,2025-12-16 13:49:00,2025.0,12.0,16.0,-36.550582,149.400204,iNaturalist Australia,,,,HUMAN_OBSERVATION,,Insecta,insects,,
Cerdistus,,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Cerdistus,2025-12-23 16:36:00,2025.0,12.0,23.0,-36.554153,149.396027,iNaturalist Australia,,,only a tiny little guy,HUMAN_OBSERVATION,,Insecta,insects,,
