scientificName,vernacularName,class_display,order,decimalLatitude,decimalLongitude,eventDate,dataResourceName,at_risk_status,is_at_risk
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-01 00:00:00,Australian National Insect Collection,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1969-12-24 00:00:00,Australian National Insect Collection,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-06 00:00:00,Australian National Insect Collection,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-19 00:00:00,Australian National Insect Collection,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1969-12-15 00:00:00,Australian National Insect Collection,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-19 00:00:00,Australian National Insect Collection,,False
Vanessa kershawi,Australian Painted Lady,Insecta,Lepidoptera,-36.55421,149.395982,2025-12-23 16:35:00,iNaturalist Australia,,False
Dacelo (Dacelo) novaeguineae,Laughing Kookaburra,Aves,Coraciiformes,-36.557877,149.395767,2025-12-23 15:36:00,iNaturalist Australia,,False
Strepera (Neostrepera) versicolor,Grey Currawong,Aves,Passeriformes,-36.554097,149.396148,2025-12-23 15:00:00,iNaturalist Australia,,False
Coracina (Coracina) novaehollandiae,Black-faced Cuckoo-shrike,Aves,Passeriformes,-36.55471,149.397172,2025-12-14 11:31:00,iNaturalist Australia,,False
Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,-36.55489,149.422073,2025-12-23 12:49:00,iNaturalist Australia,,False
Climacteris (Climacterobates) erythrops,Red-browed Treecreeper,Aves,Passeriformes,-36.552147,149.421233,2025-12-23 13:55:00,iNaturalist Australia,,False
Acanthiza (Geobasileus) reguloides,Buff-rumped Thornbill,Aves,Passeriformes,-36.554472,149.396893,2025-12-20 14:40:00,iNaturalist Australia,,False
Cerdistus,,Insecta,Diptera,-36.550672,149.401483,2025-12-23 16:49:00,iNaturalist Australia,,False
Eusynthemis guttata,Southern Tigertail,Insecta,Odonata,-36.555219,149.421693,2025-12-23 12:55:00,iNaturalist Australia,,False
Hemicordulia tau,Tau Emerald,Insecta,Odonata,-36.554548,149.395537,2025-12-23 15:15:00,iNaturalist Australia,,False
ZYGAENIDAE,,Insecta,Lepidoptera,-36.554151,149.396027,2025-12-23 16:37:00,iNaturalist Australia,,False
Oreixenica orichora,Orichora Brown,Insecta,Lepidoptera,-36.555218,149.421691,2025-12-23 12:55:00,iNaturalist Australia,,False
Cormobates leucophaea,White-throated Treecreeper,Aves,Passeriformes,-36.552208,149.421203,2025-12-23 13:56:00,iNaturalist Australia,,False
Epidesmia,,Insecta,Lepidoptera,-36.552422,149.398178,2025-12-23 16:38:00,iNaturalist Australia,,False
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,-36.550582,149.400204,2025-12-16 13:49:00,iNaturalist Australia,,False
Cerdistus,,Insecta,Diptera,-36.554153,149.396027,2025-12-23 16:36:00,iNaturalist Australia,,False
Euloxia meandraria,Two-lined Emerald,Insecta,Lepidoptera,-36.550668,149.405325,2026-01-04 12:13:49,iNaturalist Australia,,False
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,-36.550987,149.399522,2025-12-20 14:03:00,iNaturalist Australia,,False
Hemicordulia tau,Tau Emerald,Insecta,Odonata,-36.55436,149.395873,2025-12-23 15:11:00,iNaturalist Australia,,False
TETRAGNATHIDAE,,Arachnida,Araneae,-36.555876,149.394402,2024-01-12 22:28:23,iNaturalist Australia,,False
Colluricincla (Colluricincla) harmonica,Grey Shrike-thrush,Aves,Passeriformes,-36.552253,149.421127,2025-12-23 13:56:00,iNaturalist Australia,,False
Pasma tasmanica,Tasmanica Skipper,Insecta,Lepidoptera,-36.552712,149.397675,2025-12-14 11:03:00,iNaturalist Australia,,False
Oreixenica orichora,Orichora Brown,Insecta,Lepidoptera,-36.550572,149.400222,2025-12-16 13:49:00,iNaturalist Australia,,False
Acanthiza (Subacanthiza) lineata,Striated Thornbill,Aves,Passeriformes,-36.553165,149.396775,2025-12-14 11:08:00,iNaturalist Australia,,False
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,-36.552794,149.416935,2025-12-20 13:36:00,iNaturalist Australia,,False
Ptilonorhynchus violaceus,Satin Bowerbird,Aves,Passeriformes,-36.554703,149.397247,2025-12-14 11:23:00,iNaturalist Australia,,False
Acanthiza (Acanthiza) pusilla,Brown Thornbill,Aves,Passeriformes,-36.551073,149.399374,2025-12-16 13:31:00,iNaturalist Australia,,False
Synthemis eustalacta,Swamp Tigertail,Insecta,Odonata,-36.56007,149.395385,2025-12-23 15:56:00,iNaturalist Australia,,False
Malurus (Malurus) cyaneus,Superb Fairy-wren,Aves,Passeriformes,-36.55075,149.400345,2025-12-20 13:59:00,iNaturalist Australia,,False
Eusynthemis guttata,Southern Tigertail,Insecta,Odonata,-36.552402,149.39804,2025-12-23 16:38:00,iNaturalist Australia,,False
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,-36.5486,149.417,2021-11-06 00:00:00,FrogID,,False
Crinia signifera,Common Eastern Froglet,Amphibia,Anura,-36.5486,149.417,2021-11-06 00:00:00,FrogID,,False
Melitulias leucographa,Geometer Moth,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,INSDC Sequences,,False
Philobota crypsichola,,Insecta,Lepidoptera,-36.55,149.41,1969-11-19 00:00:00,INSDC Sequences,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-06 00:00:00,INSDC Sequences,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1969-12-24 00:00:00,INSDC Sequences,,False
TORTRICIDAE,,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,INSDC Sequences,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-19 00:00:00,INSDC Sequences,,False
TORTRICIDAE,,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,INSDC Sequences,,False
Telanepsia stictocrossa,,Insecta,Lepidoptera,-36.55,149.41,1969-11-19 00:00:00,INSDC Sequences,,False
Telocharacta hemicroca,Concealer Moth,Insecta,Lepidoptera,-36.55,149.41,1969-11-19 00:00:00,INSDC Sequences,,False
Scieropepla serina,Concealer Moth,Insecta,Lepidoptera,-36.55,149.42,1970-01-01 00:00:00,INSDC Sequences,,False
Melitulias,,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,International Barcode of Life project (iBOL),,False
Scieropepla,,Insecta,Lepidoptera,-36.55,149.42,1970-01-19 00:00:00,International Barcode of Life project (iBOL),,False
Scieropepla,,Insecta,Lepidoptera,-36.55,149.42,1969-12-24 00:00:00,International Barcode of Life project (iBOL),,False
Telocharacta,,Insecta,Lepidoptera,-36.55,149.41,1969-11-19 00:00:00,International Barcode of Life project (iBOL),,False
TORTRICIDAE,,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,International Barcode of Life project (iBOL),,False
Scieropepla,,Insecta,Lepidoptera,-36.55,149.42,1970-01-06 00:00:00,International Barcode of Life project (iBOL),,False
Telanepsia,,Insecta,Lepidoptera,-36.55,149.41,1969-11-19 00:00:00,International Barcode of Life project (iBOL),,False
Scieropepla,,Insecta,Lepidoptera,-36.55,149.42,1970-01-01 00:00:00,International Barcode of Life project (iBOL),,False
TORTRICIDAE,,Insecta,Lepidoptera,-36.55,149.42,1969-11-19 00:00:00,International Barcode of Life project (iBOL),,False
Scieropepla,,Insecta,Lepidoptera,-36.55,149.42,1970-01-19 00:00:00,International Barcode of Life project (iBOL),,False
